Metric,LSTM-CNN,CNN-LSTM,Difference,Winner
Accuracy,0.8712620282954576,0.9247326288242937,-0.05347060052883612,CNN-LSTM
Precision (Macro),0.5402898319611561,0.5239749756356613,0.016314856325494786,LSTM-CNN
Recall (Macro),0.4300037643096286,0.5527502224231549,-0.12274645811352625,CNN-LSTM
F1-Score (Macro),0.4582975492352473,0.536387562362906,-0.07809001312765868,CNN-LSTM
ROC-AUC (Macro),0.9554721370757033,0.9841025758467064,-0.02863043877100302,CNN-LSTM
Inference Time (ms/sample),0.19629743413708617,0.08228184721840831,0.11401558691867786,LSTM-CNN
Training Time (minutes),896.8026643514634,140.05076014200847,756.7519042094549,LSTM-CNN
Total Epochs,14.0,50.0,-36.0,CNN-LSTM
Best Epoch,4.0,50.0,-46.0,CNN-LSTM
Best Validation Accuracy,0.8708500266075134,0.9250100255012512,-0.05415999889373779,CNN-LSTM
Best Validation Loss,0.2762763202190399,0.1884072721004486,0.08786904811859131,LSTM-CNN
